num,Hotel ID,Hotel Name,Hotel Rank,Hotel Address,Total Score,Vị trí,Độ sạch sẽ,Dịch vụ,Tiện nghi,Đáng giá tiền,Sự thoải mái và chất lượng phòng
320,11_20,Arena Cam Ranh Seaview near Airport,5 sao trên 5,"The Arena Cam Ranh, Lot TT13, Lot D14d, Lot TT9b - Area 4 - North Cam Ranh Peninsula tourist area, Cam Nghia Ward, City. Cam Ranh, Cam Ranh, Khanh Hoa, Cam Hải Đông, Nha Trang, Việt Nam, 58710",No information,,,,,,
321,11_21,La Paloma Villa,3 sao trên 5,"1 Hòn Chồng, Phường Vĩnh Phước số mới 80 Hòn Chồng, Phường Vĩnh Phước, Vĩnh Phước, Nha Trang, Việt Nam, 650000","8,0","7,5","8,5","8,4","7,7","7,9","8,3"
322,11_22,Citadines Bayfront Nha Trang,5 sao trên 5,"62 Trần Phú,, Lộc Thọ, Nha Trang, Việt Nam","8,8","9,5","9,0","8,8","8,5","8,8",
323,11_23,Potique Hotel,5 sao trên 5,"22 Hung Vuong Steet, Loc Tho Ward, Nha Trang City, Lộc Thọ, Nha Trang, Việt Nam, 650000","9,3","9,6","9,6","9,7","9,3","9,5",
324,11_24,"Chung cư 70 m² 2 phòng ngủ, 2 phòng tắm riêng ở Xương Huân (Muong Thanh Apartment)",4.5 sao trên 5,"Xương Huân, Nha Trang, Việt Nam",No information,,,,,,
325,11_25,Six Senses Ninh Vân Bay (Six Senses Ninh Van Bay),5 sao trên 5,"Vinh Ninh Vân , Vịnh Ninh Vân, Nha Trang, Việt Nam, 57000","9,0","9,2","9,4","9,4","9,2","8,6","9,1"
326,11_26,Selena Panorama Nha Trang,4 sao trên 5,"02 Nguyễn Thị Minh Khai, Lộc Thọ, Lộc Thọ, Nha Trang, Việt Nam, 650000","9,6","10,0","10,0",,,"10,0",
327,11_27,Khách Sạn Crown Nguyên Hoàng (Crown Nguyen Hoang Hotel),3.5 sao trên 5,"1A An Vien Urban Area, Vinh Nguyen Ward, Nha Trang city, Khanh Hoa Province, Vĩnh Trường, Nha Trang, Việt Nam, 65000","8,7","8,6","9,1","9,1","8,4","9,0",
328,11_28,Khách sạn LeMore Nha Trang (LeMore Hotel Nha Trang),4 sao trên 5,"33A Tô Hiến Thành, Phường Tân Lập, Tân Lập, Nha Trang, Việt Nam, 650000","8,9","9,7","8,7","9,2","8,6","9,2",
329,11_29,Premiere Beachfront Arena Cam Ranh - VT Group,5 sao trên 5,"The Arena Cam Ranh , Cam Nghĩa, Cam Hải Đông, Nha Trang, Việt Nam, 650000",No information,,,,,,
330,11_30,"Căn hộ 42 m² 1 phòng ngủ, 1 phòng tắm riêng ở Vĩnh Hải (Luxury apartment sea view 28 floor Scenia Bay)",5 sao trên 5,"Vĩnh Hải, Nha Trang, Việt Nam","8,4","10,0","8,8","7,6","9,2","9,6",
331,12_1,Like Family Hotel,1.5 sao trên 5,"124/6 Hoàng Hoa Thám, Lộc Thọ, Nha Trang, Việt Nam, 650000","8,6","8,9","8,6","8,8","7,8","8,9",
332,12_2,The Empyrean Nha Trang,5 sao trên 5,"02 Nguyen Thi Minh Khai Street, Lộc Thọ, Nha Trang, Việt Nam, 650000","8,6","9,4","8,7","8,5","8,5","8,7",
333,12_3,FELIZ VILLA NHA TRANG,No information,"439 Đ. 2/4, Nha Trang, Vĩnh Hải, Nha Trang, Việt Nam, 650000","8,3","8,3","8,7","8,7","7,7","8,3",
334,12_4,"Nhà riêng 100 m² 4 phòng ngủ, 2 phòng tắm riêng ở Vĩnh Phước (Cozy Tropical 4 Bedroom Apartment)",No information,"Vĩnh Phước, Nha Trang, Việt Nam","2,0","2,0","2,0","2,0","2,0","2,0",
335,12_5,Khách sạn Nice Swan (Nice Swan Hotel Nha Trang),2.5 sao trên 5,"64 Hùng Vương, Lộc Thọ, Nha Trang, Việt Nam","7,5","8,4","7,8","7,1","7,0","7,6","7,5"
336,12_6,Pandora Panorama Nha Trang,4 sao trên 5,"2 Nguyen Thi Minh Khai , Lộc Thọ, Nha Trang, Việt Nam, 650000",10,"10,0","10,0","10,0","10,0","10,0",
337,12_7,Gran Meliá Nha Trang,5 sao trên 5,"Bai Tien, Duong De, Vinh Hoa Ward, Nha Trang City, Khanh Hoa Province , Vĩnh Hòa, Nha Trang, Việt Nam, 650000","9,0","8,4","9,8","9,7","9,2","9,1",
338,12_8,The Moon Villas (The Trang Villas),3 sao trên 5,"19 Dương Khuê, Thôn Cát Lợi, Xã Vĩnh Lương, Vịnh Ninh Vân, Nha Trang, Việt Nam, 650000","8,2","6,6","8,4","9,3","7,9","8,8",
339,12_9,The View Hotel,2 sao trên 5,"D16-17-16 KDT Hung Thinh, Cam Hai Dong, Cam Hải Đông, Nha Trang, Việt Nam, 650000","8,8","8,4","9,6","9,3","8,8","9,2",
340,12_10,Saphia hotel Nha Trang,3 sao trên 5,"92 Trần Phú, Lộc Thọ, Nha Trang, Việt Nam, 650000","8,3","9,1","8,2","8,5","7,9","8,3",
341,12_11,"Căn hộ studio 25 m² có 1 phòng tắm riêng ở Vĩnh Hòa (Salt house, deluxe balcony room fully furnished)",4 sao trên 5,"Vĩnh Hòa, Nha Trang, Việt Nam",No information,,,,,,
342,12_12,Lumina Villas Cam Ranh,3 sao trên 5,"Nguyễn Tất Th&#224;nh , Cam Hải Đông, Nha Trang, Việt Nam, 650000","8,7","8,5","8,7","9,2","8,6","9,3",
343,12_13,Panorama Center Ocean View,4 sao trên 5,"2 Nguyễn Thị Minh Khai, B1504 Panorama Nha Trang, Lộc Thọ, Nha Trang, Việt Nam, 650000","8,4","9,2","8,1","8,1","8,3","8,4",
344,12_14,"Căn hộ 80 m² 2 phòng ngủ, 2 phòng tắm riêng ở Lộc Thọ (Two adjacent family Panorama by HLG)",5 sao trên 5,"Lộc Thọ, Nha Trang, Việt Nam",10,"10,0","10,0",,,"10,0",
345,12_15,"Căn hộ 774 m² 2 phòng ngủ, 2 phòng tắm riêng ở Vĩnh Phước (Two Bedroom Apartment with Sea View)",5 sao trên 5,"Vĩnh Phước, Nha Trang, Việt Nam",No information,,,,,,
346,12_16,Seascape Villas in Long Beach Cam Ranh,5 sao trên 5,"Nguyễn Tất Thành, st, Lot D14B Nguyen Tat Thanh street, Cam Hai Dong commune, Cam Lam district, Cam Hải Đông, Nha Trang, Việt Nam, 650000","7,6","6,0","8,0","8,0","8,0","8,0",
347,12_17,The Signature Hotel Nha Trang,5 sao trên 5,"86A Trần Phú, Lộc Thọ, Lộc Thọ, Nha Trang, Việt Nam, 650000","9,2","10,0","10,0","10,0","10,0","10,0",
348,12_18,Phan Gia Xanh Garden,5 sao trên 5,"số 01 Xóm Bắc, Thôn 2, Xã Diên Đồng, Huyện Diên Khánh, Huyện Diên Khánh, Nha Trang, Việt Nam, 57000","7,3","5,5","7,0","8,0","5,5","8,0",
349,12_19,Arenas Cam Ranh Resort,4 sao trên 5,"Đường N2, Trung Tâm Du Lịch Bắc Bán Đảo Cam Ranh, Cam Hải Đông, Nha Trang, Việt Nam","7,5","8,7","7,3","6,8","6,8","7,3",
350,12_20,Khách sạn Bình An (Binh An Hotel Nha Trang),1.5 sao trên 5,"102 Hoàng Hoa Thám, Lộc Thọ, Nha Trang, Việt Nam, 84 0258 3523181","9,1","8,9","9,4","9,4","8,6","9,4","9,2"
351,12_21,Arena Seaview Cam Ranh Beach Resort Nha Trang Best Location Near The Airport,No information,"L&#244; D14D Đại Lộ Nguyễn Tất Th&#224;nh, B&#227;i D&#224;i, KDL Bắc B&#225;n Đảo Cam Ranh, TP.Cam Ranh, Tỉnh Kh&#225;nh H&#242;a, Cam Hải Đông, Nha Trang, Việt Nam, 57800","7,5","8,5","8,2","7,7","7,6","7,6",
352,12_22,Khách Sạn Mojzo (Mojzo Inn),No information,"65/07 Nguyen Thiet Thuat- Nha Trang- Khanh hoa, Lộc Thọ, Nha Trang, Việt Nam, 650000","9,2","9,6","9,3","9,8","9,0","9,6",
353,12_23,"Nhà mặt đất 25 m² 1 phòng ngủ, 1 phòng tắm riêng ở Vĩnh Phước (NEVA HOTEL NHA TRANG ( SINGLE ROOM))",2 sao trên 5,"Vĩnh Phước, Nha Trang, Việt Nam",No information,,,,,,
354,12_24,Panorama Nha Trang Condotel,3 sao trên 5,"44 Nguyễn Thị Minh Khai, Lộc Thọ, Nha Trang, Việt Nam, 650000","7,8","9,0","7,6","7,7","7,6","8,2",
355,12_25,"Căn hộ 42 m² 1 phòng ngủ, 1 phòng tắm riêng ở Lộc Thọ (Studio Balcony Sea View)",5 sao trên 5,"Lộc Thọ, Nha Trang, Việt Nam","2,0","2,0","2,0",,,"2,0",
356,12_26,"Biệt thự 25 m² 1 phòng ngủ, 0 phòng tắm riêng ở Brooklyn (ZK Homestay )",5 sao trên 5,"Lộc Thọ, Nha Trang, Việt Nam",No information,,,,,,
357,12_27,"Chung cư 35 m² 2 phòng ngủ, 1 phòng tắm riêng ở Phước Long (Hung Thanh Luxury Apartment)",3.5 sao trên 5,"Phước Long, Nha Trang, Việt Nam",No information,,,,,,
358,12_28,"Căn hộ 1000 m² 14 phòng ngủ, 14 phòng tắm riêng ở Suối Hải (Motel An Bình _ homestay)",5 sao trên 5,"Cam Đức, Nha Trang, Việt Nam",10,"10,0","10,0","10,0","10,0","10,0",
359,12_29,"Nhà riêng 60 m² 2 phòng ngủ, 2 phòng tắm riêng ở Tân Lập (Lovely 2-bedroom apartment in city center .)",5 sao trên 5,"Tân Lập, Nha Trang, Việt Nam",10,"10,0","10,0","10,0","10,0","10,0",
360,12_30,Aura Panorama Nha Trang,5 sao trên 5,"2 Nguyễn Thị Minh Khai, Panorama, Lộc Thọ, Nha Trang, Việt Nam, 650000","8,8","9,4","8,8","8,8","8,6","8,9",
361,13_1,"Căn hộ 45 m² 1 phòng ngủ, 1 phòng tắm riêng ở Vĩnh Hải (Luxury apartment with sea view)",5 sao trên 5,"Vĩnh Hải, Nha Trang, Việt Nam","7,0","6,0","6,5",,,"7,6",
362,13_2,"Chung cư 50 m² 1 phòng ngủ, 1 phòng tắm riêng ở Lộc Thọ (Family Sea View + Free Pool at Panorama Nha Trang )",5 sao trên 5,"Lộc Thọ, Nha Trang, Việt Nam","6,9","9,0","8,0",,,"7,0",
363,13_3,Oasis Retreat - Muong Thanh Vien Trieu,5 sao trên 5,"3 Pham Van Dong, OC 1 B Muong Thanh Vien Trieu, Vĩnh Phước, Nha Trang, Việt Nam, 650000","7,3","7,9","7,3","8,1","8,0","7,4",
364,13_4,"Nhà riêng 68 m² 2 phòng ngủ, 2 phòng tắm riêng ở Vĩnh Phước (Cozy Sea View - Family 2 Bedroom)",No information,"Vĩnh Phước, Nha Trang, Việt Nam",No information,,,,,,
365,13_5,Arenas Cam Ranh Resort,4 sao trên 5,"Đường N2, Trung Tâm Du Lịch Bắc Bán Đảo Cam Ranh, Cam Hải Đông, Nha Trang, Việt Nam","7,5","8,7","7,3","6,8","6,8","7,3",
366,13_6,Khách sạn Bình An (Binh An Hotel Nha Trang),1.5 sao trên 5,"102 Hoàng Hoa Thám, Lộc Thọ, Nha Trang, Việt Nam, 84 0258 3523181","9,1","8,9","9,4","9,4","8,6","9,4","9,2"
367,13_7,Arena Seaview Cam Ranh Beach Resort Nha Trang Best Location Near The Airport,No information,"L&#244; D14D Đại Lộ Nguyễn Tất Th&#224;nh, B&#227;i D&#224;i, KDL Bắc B&#225;n Đảo Cam Ranh, TP.Cam Ranh, Tỉnh Kh&#225;nh H&#242;a, Cam Hải Đông, Nha Trang, Việt Nam, 57800","7,5","8,5","8,2","7,7","7,6","7,6",
368,13_8,DTX Hotel Nha Trang,4 sao trên 5,"3A Quân Trấn, đường Hùng Vương, phường Lộc Thọ, Nha Trang, Khánh Hòa, Lộc Thọ, Nha Trang, Việt Nam, 650000","8,9","8,8","9,1","9,3","8,6","9,2",
369,13_9,Panorama Nha Trang Condotel,3 sao trên 5,"44 Nguyễn Thị Minh Khai, Lộc Thọ, Nha Trang, Việt Nam, 650000","7,8","9,0","7,6","7,7","7,6","8,2",
370,13_10,L’Alya Vịnh Ninh Vân (L'Alya Ninh Van Bay),5 sao trên 5,"Vịnh Ninh Vân, Thị xã Ninh Hòa , Vịnh Ninh Vân, Nha Trang, Việt Nam, 650000","9,0","8,6","9,2","9,5","9,0","9,0","9,3"
371,13_11,"Biệt thự 300 m² 2 phòng ngủ, 2 phòng tắm riêng ở Lộc Thọ (Rooftop pool villa by the bay)",5 sao trên 5,"Lộc Thọ, Nha Trang, Việt Nam",No information,,,,,,
372,13_12,"Căn hộ 58 m² 2 phòng ngủ, 2 phòng tắm riêng ở Vĩnh Hải (CHAMPA ISLAND NHA TRANG CAN HO 2 PHONG NGU 2WC)",5 sao trên 5,"Vĩnh Hải, Nha Trang, Việt Nam",No information,,,,,,
373,13_13,Ocean view of Cam Ranh Resort,5 sao trên 5,"The Arena Cam Ranh, Cam Nghia, Cam Ranh, Khanh Hoa, Viet Nam, Cam Hải Đông, Nha Trang, Việt Nam, 650000","9,6","10,0","10,0",,,"10,0",
374,13_14,Căn hộ studio 37 m² có 0 phòng tắm riêng ở Lộc Thọ (Panorama Nha Trang With Pretty View),5 sao trên 5,"Lộc Thọ, Nha Trang, Việt Nam","2,0","2,0","2,0","2,0","2,0","2,0",
375,13_15,Khách sạn Nhi Phi (Nhi Phi Hotel Nha Trang),3.5 sao trên 5,"10 Biệt Thự, Lộc Thọ, Nha Trang, Việt Nam","7,9","8,6","7,8","7,8","7,4","8,0","7,9"
376,13_16,"Căn hộ 70 m² 2 phòng ngủ, 2 phòng tắm riêng ở Tân Lập (HUD BUILDING - CĂN HỘ 5 SAO CAO CẤP- TẦNG 21)",4.5 sao trên 5,"Tân Lập, Nha Trang, Việt Nam",No information,,,,,,
377,13_17,Khu nghỉ dưỡng và Spa Cam Ranh Riviera Beach - Trọn gói (Cam Ranh Riviera Beach Resort and Spa - All Inclusive),5 sao trên 5,"Cam Ranh, Cam Hải Đông, Nha Trang, Việt Nam, 650000","8,4","8,2","8,7","8,6","8,5","8,6","8,5"
378,13_18,"Căn hộ 774 m² 2 phòng ngủ, 2 phòng tắm riêng ở Vĩnh Phước (Two Bedroom Apartment Partial Sea)",5 sao trên 5,"Vĩnh Phước, Nha Trang, Việt Nam","8,4","8,5","8,0","9,0","8,5","8,0",
379,13_19,"Nhà riêng 60 m² 2 phòng ngủ, 1 phòng tắm riêng ở Vĩnh Hải (Home Auntie 8)",5 sao trên 5,"86 Đường Bắc Sơn, Vĩnh Hải, Nha Trang, Việt Nam, 650000",10,"10,0","10,0","10,0","10,0","10,0","10,0"
380,13_20,"Nhà riêng 40 m² 1 phòng ngủ, 1 phòng tắm riêng ở Vĩnh Phước (Tiện nghi giá bình dân)",5 sao trên 5,"Vĩnh Phước, Nha Trang, Việt Nam",No information,,,,,,
381,13_21,Muong Thanh Nha Trang Hotel & Apartment,5 sao trên 5,"Tòa nhà OC1A, Mường Thanh Viễn Triều, 03 Phạm Văn Đồng Street, Vĩnh Phước, Nha Trang, Việt Nam, 650000",10,"10,0","10,0","10,0","10,0","10,0",
382,13_22,Western Seaview (The Arena Cam Ranh),4 sao trên 5,"Nguyễn Tất Th&#224;nh, Cam Hải Đông, Nha Trang, Việt Nam, 65000","7,3","7,9","7,8","6,5","6,5","7,1",
383,13_23,"Căn hộ 500 m² 10 phòng ngủ, 1 phòng tắm riêng ở Vĩnh Hòa (Nhà Nghỉ Thúy Vy)",No information,"178/2 Phạm Văn Đồng, Phường Vĩnh Hòa, Nha Trang, Nhà Nghỉ Thúy Vy 178/2 Phạm Văn Đồng, Vĩnh Hòa, Nha Trang, Việt Nam","8,1","8,0","8,7","8,7","7,3","8,0",
384,13_24,Skyline Seaview Cam Ranh Khanh Hoa,4 sao trên 5,"Lô D14D, Đại Lộ Nguyễn Tất Thành, Cam Hải Đông, Tp. Cam Ranh, Khánh Hòa, Việt Nam, Cam Hải Đông, Nha Trang, Việt Nam, 57800","6,3","7,6","4,8","4,0","3,5","5,2",
385,13_25,"Nhà riêng 72 m² 2 phòng ngủ, 2 phòng tắm riêng ở Vĩnh Phước (Partial Sea View : Two Bedroom & Washing Machine)",3 sao trên 5,"Vĩnh Phước, Nha Trang, Việt Nam","6,7","9,0","6,0","9,0","6,0","8,0",
386,13_26,Nhà Rosemary Bãi Dài - Căn hộ hướng biển gần sân bay Cam Ranh (Rosemary Home at Bai Dai Beach Nha Trang - Seaview Condo near Int't Cam Ranh Airport),No information,"The Arena Cam Ranh, Khu 4 - KDL Bac Ban Dao Cam Ranh, P. Cam Nghia, Cam Ranh City, Khanh Hoa Province, Cam Hải Đông, Nha Trang, Việt Nam, 65000","8,2","8,4","8,4","8,0","7,6","8,4",
387,13_27,Khách sạn Asteria Comodo Nha Trang (Asteria Comodo Nha Trang Hotel),No information,"86A Trần Phú, Lộc Thọ, Nha Trang, Việt Nam, 57001","8,9","9,2","9,1","9,0","8,7","9,0",
388,13_28,"Căn hộ 100 m² 1 phòng ngủ, 2 phòng tắm riêng ở Biển Bãi Dài (Wellcome to Cuong's homey apartment!!)",5 sao trên 5,"Cam Hải Đông, Nha Trang, Việt Nam",No information,,,,,,
389,13_29,"Căn hộ 40 m² 1 phòng ngủ, 1 phòng tắm riêng ở Xương Huân (PrivateRoom#Kitchen#WashingMachine#Iron#Fridge#AC)",3.5 sao trên 5,"Xương Huân, Nha Trang, Việt Nam",No information,,,,,,
390,13_30,Wyndham Grand KN Paradise Cam Ranh,4.5 sao trên 5,"Long Beach, Cam Nghia Ward, Cam Ranh City, Khanh Hoa Province, Vietnam, Cam Ranh, Nha Trang, Việt Nam, 650000","8,3","7,4","8,8","8,7","8,3","8,5",
391,14_1,"Biệt thự 200 m² 5 phòng ngủ, 5 phòng tắm riêng ở Phước Long (Cosiana Villa Nha Trang)",5 sao trên 5,"Phước Long, Nha Trang, Việt Nam",No information,,,,,,
392,14_2,CONDOTEL ARENA SEA VIEW - VG,5 sao trên 5,"Arena Cam Ranh Resort, Nguyen Tat Thanh Avenue, Cam Hải Đông, Nha Trang, Việt Nam, 650000","2,5","3,0","2,0",,,"2,0",
393,14_3,KHU NGHỈ DƯỠNG ARENA CAM RANH (KHU NGHỈ DƯỠNG THE ARENA CAM RANH),No information,"LÔ D14D BÃI DÀI, THÀNH PHỐ CAM RANH, TỈNH KHÁNH HÒA, NHA TRANG, SeB05-19, Cam Hải Đông, Nha Trang, Việt Nam, 57800",No information,,,,,,
394,14_4,"Căn hộ 60 m² 2 phòng ngủ, 2 phòng tắm riêng ở Tân Lập (HUD Building )",3 sao trên 5,"Tân Lập, Nha Trang, Việt Nam",No information,,,,,,
395,14_5,Khách sạn Sao Việt Nha Trang (Sao Viet Nha Trang Hotel),4 sao trên 5,"10 Hoàng Hoa Thám, phường Lộc Thọ, thành phố Nha Trang, Lộc Thọ, Nha Trang, Việt Nam, 57000","8,2","8,8","8,3","8,6","8,0","8,6",
396,14_6,Căn hộ studio 20 m² có 1 phòng tắm riêng ở Vĩnh Hòa (Cozy .Place / Mountain View),3.5 sao trên 5,"Vĩnh Hòa, Nha Trang, Việt Nam",10,"10,0","10,0","10,0","10,0","10,0",
397,14_7,Ocean view Cam Ranh - The Arena,5 sao trên 5,"Cam Hải Đông, Nha Trang, Việt Nam","9,6","8,0","10,0",,,"10,0",
398,14_8,Ngói Casa - Marina Villa,5 sao trên 5,"Vĩnh Trường, Nha Trang, Việt Nam",No information,,,,,,
399,14_9,Khách sạn Thiên Trường (Thien Truong Hotel),2 sao trên 5,"67 Hoàng Diệu, Vinh Nguyên, Thành phố Nha Trang, Vĩnh Nguyên, Nha Trang, Việt Nam, 650000","8,7","8,9","8,6","8,8","8,3","9,3",
400,14_10,Aqua De Hotel Panorama Nha Trang,5 sao trên 5,"2 Nguyễn Thị Minh Khai, Lộc Thọ, Lộc Thọ, Nha Trang, Việt Nam, 650000",No information,,,,,,
401,14_11,"Căn hộ 35 m² 1 phòng ngủ, 1 phòng tắm riêng ở Lộc Thọ (QT PANORAMA NHA TRANG APARTMENT)",4.5 sao trên 5,"Lộc Thọ, Nha Trang, Việt Nam","6,1","10,0","6,0",,,"6,0",
402,14_12,"Căn hộ 55 m² 1 phòng ngủ, 1 phòng tắm riêng ở Lộc Thọ (Grand panoramic ocean view suite)",No information,"Lộc Thọ, Nha Trang, Việt Nam",No information,,,,,,
403,14_13,"Căn hộ 40 m² 1 phòng ngủ, 1 phòng tắm riêng ở Xương Huân (PrivateRoom#Kitchen#WashingMachine#Iron#Fridge#AC)",3.5 sao trên 5,"Xương Huân, Nha Trang, Việt Nam",No information,,,,,,
404,14_14,Wyndham Grand KN Paradise Cam Ranh,4.5 sao trên 5,"Long Beach, Cam Nghia Ward, Cam Ranh City, Khanh Hoa Province, Vietnam, Cam Ranh, Nha Trang, Việt Nam, 650000","8,3","7,4","8,8","8,7","8,3","8,5",
405,14_15,"Biệt thự 200 m² 5 phòng ngủ, 5 phòng tắm riêng ở Phước Long (Cosiana Villa Nha Trang)",5 sao trên 5,"Phước Long, Nha Trang, Việt Nam",No information,,,,,,
406,14_16,"Nha Trang Marriott Resort & Spa, Hon Tre Island",5 sao trên 5,"Hon Tre Island, Hòn Tre, Nha Trang, Việt Nam, 650000","8,6","8,4","8,9","9,0","8,8","8,8",
407,14_17,CONDOTEL ARENA SEA VIEW - VG,5 sao trên 5,"Arena Cam Ranh Resort, Nguyen Tat Thanh Avenue, Cam Hải Đông, Nha Trang, Việt Nam, 650000","2,5","3,0","2,0",,,"2,0",
408,14_18,KHU NGHỈ DƯỠNG ARENA CAM RANH (KHU NGHỈ DƯỠNG THE ARENA CAM RANH),No information,"LÔ D14D BÃI DÀI, THÀNH PHỐ CAM RANH, TỈNH KHÁNH HÒA, NHA TRANG, SeB05-19, Cam Hải Đông, Nha Trang, Việt Nam, 57800",No information,,,,,,
409,14_19,"Căn hộ 60 m² 2 phòng ngủ, 2 phòng tắm riêng ở Tân Lập (HUD Building )",3 sao trên 5,"Tân Lập, Nha Trang, Việt Nam",No information,,,,,,
410,14_20,Khách sạn Sao Việt Nha Trang (Sao Viet Nha Trang Hotel),4 sao trên 5,"10 Hoàng Hoa Thám, phường Lộc Thọ, thành phố Nha Trang, Lộc Thọ, Nha Trang, Việt Nam, 57000","8,2","8,8","8,3","8,6","8,0","8,6",
411,14_21,Căn hộ studio 20 m² có 1 phòng tắm riêng ở Vĩnh Hòa (Cozy .Place / Mountain View),3 sao trên 5,"Vĩnh Hòa, Nha Trang, Việt Nam",10,"10,0","10,0","10,0","10,0","10,0",
412,14_22,Ocean view Cam Ranh - The Arena,No information,"Cam Hải Đông, Nha Trang, Việt Nam","9,6","8,0","10,0",,,"10,0",
413,14_23,Ngói Casa - Marina Villa,5 sao trên 5,"Vĩnh Trường, Nha Trang, Việt Nam",No information,,,,,,
414,14_24,"Căn hộ 40 m² 1 phòng ngủ, 1 phòng tắm riêng ở Xương Huân (PrivateRoom#Kitchen#WashingMachine#Iron#Fridge#AC)",3.5 sao trên 5,"Xương Huân, Nha Trang, Việt Nam",No information,,,,,,
415,14_25,Wyndham Grand KN Paradise Cam Ranh,4.5 sao trên 5,"Long Beach, Cam Nghia Ward, Cam Ranh City, Khanh Hoa Province, Vietnam, Cam Ranh, Nha Trang, Việt Nam, 650000","8,3","7,4","8,8","8,7","8,3","8,5",
416,14_26,"Biệt thự 200 m² 5 phòng ngủ, 5 phòng tắm riêng ở Phước Long (Cosiana Villa Nha Trang)",5 sao trên 5,"Phước Long, Nha Trang, Việt Nam",No information,,,,,,
417,14_27,"Nha Trang Marriott Resort & Spa, Hon Tre Island",5 sao trên 5,"Hon Tre Island, Hòn Tre, Nha Trang, Việt Nam, 650000","8,6","8,4","8,9","9,0","8,8","8,8",
418,14_28,CONDOTEL ARENA SEA VIEW - VG,5 sao trên 5,"Arena Cam Ranh Resort, Nguyen Tat Thanh Avenue, Cam Hải Đông, Nha Trang, Việt Nam, 650000","2,5","3,0","2,0",,,"2,0",
419,14_29,KHU NGHỈ DƯỠNG ARENA CAM RANH (KHU NGHỈ DƯỠNG THE ARENA CAM RANH),No information,"LÔ D14D BÃI DÀI, THÀNH PHỐ CAM RANH, TỈNH KHÁNH HÒA, NHA TRANG, SeB05-19, Cam Hải Đông, Nha Trang, Việt Nam, 57800",No information,,,,,,
420,14_30,"Căn hộ 60 m² 2 phòng ngủ, 2 phòng tắm riêng ở Tân Lập (HUD Building )",3 sao trên 5,"Tân Lập, Nha Trang, Việt Nam",No information,,,,,,
421,15_1,Khách sạn Sao Việt Nha Trang (Sao Viet Nha Trang Hotel),4 sao trên 5,"10 Hoàng Hoa Thám, phường Lộc Thọ, thành phố Nha Trang, Lộc Thọ, Nha Trang, Việt Nam, 57000","8,2","8,8","8,3","8,6","8,0","8,6",
422,15_2,Căn hộ studio 20 m² có 1 phòng tắm riêng ở Vĩnh Hòa (Cozy .Place / Mountain View),No information,"Vĩnh Hòa, Nha Trang, Việt Nam",10,"10,0","10,0","10,0","10,0","10,0",
423,15_3,Ocean view Cam Ranh - The Arena,No information,"Cam Hải Đông, Nha Trang, Việt Nam","9,6","8,0","10,0",,,"10,0",
424,15_4,Ngói Casa - Marina Villa,5 sao trên 5,"Vĩnh Trường, Nha Trang, Việt Nam",No information,,,,,,
425,15_5,Khách sạn Thiên Trường (Thien Truong Hotel),2 sao trên 5,"67 Hoàng Diệu, Vinh Nguyên, Thành phố Nha Trang, Vĩnh Nguyên, Nha Trang, Việt Nam, 650000","8,7","8,9","8,6","8,8","8,3","9,3",
426,15_6,Aqua De Hotel Panorama Nha Trang,5 sao trên 5,"2 Nguyễn Thị Minh Khai, Lộc Thọ, Lộc Thọ, Nha Trang, Việt Nam, 650000",No information,,,,,,
427,15_7,An Lam Retreats Ninh Van Bay,5 sao trên 5,"Vịnh Ninh Vân, Vịnh Ninh Vân, Nha Trang, Việt Nam, 650000","9,0","8,9","9,3","9,4","9,0","8,9",
428,15_8,"Căn hộ 35 m² 1 phòng ngủ, 1 phòng tắm riêng ở Lộc Thọ (QT PANORAMA NHA TRANG APARTMENT)",4.5 sao trên 5,"Lộc Thọ, Nha Trang, Việt Nam","6,1","10,0","6,0",,,"6,0",
429,15_9,"Căn hộ 55 m² 1 phòng ngủ, 1 phòng tắm riêng ở Lộc Thọ (Grand panoramic ocean view suite)",3.5 sao trên 5,"Lộc Thọ, Nha Trang, Việt Nam",No information,,,,,,
430,15_10,Nhà bãi biển DELUXE HƯỚNG BIỂN BÃI DÀI CAM RANH (DELUXE SEA VIEW BÃI DÀI CAM RANH beach house),5 sao trên 5,"Nguyễn Tất Thành, Cam Hải Đông, Nha Trang, Việt Nam, 650000","9,6","10,0","10,0",,,"10,0",
431,15_11,"Căn hộ 30 m² 1 phòng ngủ, 1 phòng tắm riêng ở Vĩnh Hòa (Affordable and cozy studio)",3.5 sao trên 5,"Vĩnh Hòa, Nha Trang, Việt Nam","8,0","6,0","6,0","9,0","9,0","10,0",
432,15_12,Hà Nhung Hotel Nha Trang,3 sao trên 5,"106 Đ. Hoàng Hoa Thám, Lộc Thọ, Nha Trang, Việt Nam, 650000","8,5","8,9","8,5","9,0","8,0","8,9",
433,15_13,"Nhà riêng 360 m² 4 phòng ngủ, 3 phòng tắm riêng ở Dốc Lết (yên lành homestay)",3 sao trên 5,"Dốc Lết, Nha Trang, Việt Nam",No information,,,,,,
434,15_14,"Căn hộ 774 m² 2 phòng ngủ, 2 phòng tắm riêng ở Vĩnh Phước (Two Bedroom Apartment with Balcony)",5 sao trên 5,"Vĩnh Phước, Nha Trang, Việt Nam","6,4","8,0","4,7","7,3","4,7","7,3",
